x,y,color
23.199981689453125,237.8000030517578,blue
24.199981689453125,237.8000030517578,blue
25.199981689453125,236.8000030517578,blue
26.199981689453125,233.8000030517578,blue
27.199981689453125,228.8000030517578,blue
27.199981689453125,221.8000030517578,blue
27.199981689453125,214.8000030517578,blue
27.199981689453125,207.8000030517578,blue
27.199981689453125,198.8000030517578,blue
27.199981689453125,189.8000030517578,blue
29.199981689453125,183.8000030517578,blue
30.199981689453125,176.8000030517578,blue
31.199981689453125,171.8000030517578,blue
32.199981689453125,169.8000030517578,blue
32.199981689453125,167.8000030517578,blue
33.199981689453125,167.8000030517578,blue
34.199981689453125,172.8000030517578,blue
36.199981689453125,177.8000030517578,blue
37.199981689453125,183.8000030517578,blue
39.199981689453125,191.8000030517578,blue
40.199981689453125,201.8000030517578,blue
42.199981689453125,213.8000030517578,blue
42.199981689453125,221.8000030517578,blue
42.199981689453125,229.8000030517578,blue
42.199981689453125,235.8000030517578,blue
43.199981689453125,241.8000030517578,blue
43.199981689453125,245.8000030517578,blue
43.199981689453125,249.8000030517578,blue
43.199981689453125,251.8000030517578,blue
43.199981689453125,252.8000030517578,blue
44.199981689453125,251.8000030517578,blue
45.199981689453125,246.8000030517578,blue
47.199981689453125,239.8000030517578,blue
47.199981689453125,232.8000030517578,blue
47.199981689453125,223.8000030517578,blue
47.199981689453125,216.8000030517578,blue
47.199981689453125,209.8000030517578,blue
48.199981689453125,205.8000030517578,blue
50.199981689453125,202.8000030517578,blue
51.199981689453125,201.8000030517578,blue
51.199981689453125,200.8000030517578,blue
51.199981689453125,199.8000030517578,blue
52.199981689453125,199.8000030517578,blue
53.199981689453125,199.8000030517578,blue
55.199981689453125,200.8000030517578,blue
58.199981689453125,204.8000030517578,blue
62.199981689453125,209.8000030517578,blue
66.19998168945312,215.8000030517578,blue
72.19998168945312,225.8000030517578,blue
79.19998168945312,232.8000030517578,blue
83.19998168945312,240.8000030517578,blue
87.19998168945312,245.8000030517578,blue
91.19998168945312,249.8000030517578,blue
92.19998168945312,250.8000030517578,blue
92.19998168945312,251.8000030517578,blue
92.19998168945312,250.8000030517578,blue
93.19998168945312,246.8000030517578,blue
93.19998168945312,239.8000030517578,blue
91.19998168945312,230.8000030517578,blue
85.19998168945312,209.8000030517578,blue
83.19998168945312,197.8000030517578,blue
80.19998168945312,186.8000030517578,blue
80.19998168945312,181.8000030517578,blue
80.19998168945312,175.8000030517578,blue
81.19998168945312,175.8000030517578,blue
83.19998168945312,177.8000030517578,blue
87.19998168945312,185.8000030517578,blue
95.19998168945312,198.8000030517578,blue
103.19998168945312,212.8000030517578,blue
112.19998168945312,226.8000030517578,blue
126.19998168945312,247.8000030517578,blue
128.19998168945312,250.8000030517578,blue
128.19998168945312,251.8000030517578,blue
128.19998168945312,252.8000030517578,blue
128.19998168945312,250.8000030517578,blue
128.19998168945312,244.8000030517578,blue
125.19998168945312,229.8000030517578,blue
123.19998168945312,216.8000030517578,blue
119.19998168945312,202.8000030517578,blue
117.19998168945312,192.8000030517578,blue
117.19998168945312,182.8000030517578,blue
117.19998168945312,181.8000030517578,blue
119.19998168945312,182.8000030517578,blue
122.19998168945312,189.8000030517578,blue
132.19998168945312,214.8000030517578,blue
138.19998168945312,232.8000030517578,blue
143.19998168945312,247.8000030517578,blue
151.19998168945312,261.8000030517578,blue
152.19998168945312,263.8000030517578,blue
152.19998168945312,264.8000030517578,blue
152.19998168945312,261.8000030517578,blue
151.19998168945312,254.8000030517578,blue
147.19998168945312,240.8000030517578,blue
143.19998168945312,219.8000030517578,blue
143.19998168945312,207.8000030517578,blue
143.19998168945312,205.8000030517578,blue
144.19998168945312,205.8000030517578,blue
146.19998168945312,206.8000030517578,blue
153.19998168945312,217.8000030517578,blue
158.19998168945312,225.8000030517578,blue
165.19998168945312,237.8000030517578,blue
167.19998168945312,243.8000030517578,blue
167.19998168945312,239.8000030517578,blue
166.19998168945312,226.8000030517578,blue
164.19998168945312,220.8000030517578,blue
